FID,geonameid,name,asciiname,alternatenames,latitude,longitude,fclass,fcode,country,cc2,admin1,admin2,admin3,admin4,population,elevation,gtopo30,timezone,moddate,geom
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e56,2966370,Bandon,Bandon,"Bandon,Bandun,Droichead na Bandan,Droichead na Bandon,bandoni,Бандон,Бандън,ბანდონი",51.74694,-8.7425,P,PPL,IE,,M,4,,,5492,,28,Europe/Dublin,2012-01-18,POINT (51.74694 -8.7425)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e55,2966670,Ballyboden,Ballyboden,Ballyboden,53.28056,-6.31639,P,PPL,IE,,L,7,,,9611,,89,Europe/Dublin,2013-12-08,POINT (53.28056 -6.31639)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e54,2966753,Ballinasloe,Ballinasloe,"Balinaslou,Ballinaslo,Ballinasloe,Beal Atha na Sluaighe,Beeal Aah ny Sluigh,Béal Átha na Sluaighe,balinaslo,barinasuro,Балинаслоу,Баллинасло,ბალინასლო,バリナスロー",53.3275,-8.21944,P,PPL,IE,,C,10,,,6388,,39,Europe/Dublin,2012-02-28,POINT (53.3275 -8.21944)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e53,2966778,Ballina,Ballina,"Balina,Ballina,Beal An Atha,Beal an Atha,Beeal yn Aah,Béal An Átha,Béal an Átha,ba li na,baellina,balina,balyna,Балина,Баллина,بالینا,ბალინა,巴利纳,밸리나",54.11667,-9.16667,P,PPL,IE,,C,20,,,10087,,32,Europe/Dublin,2012-02-28,POINT (54.11667 -9.16667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e52,2966793,Baldoyle,Baldoyle,"Baile Duill,Baile Dúill,Baldoyle",53.39972,-6.12583,P,PPL,IE,,L,35,,,8043,,1,Europe/Dublin,2013-12-08,POINT (53.39972 -6.12583)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e51,2966794,Balbriggan,Balbriggan,"Baile Brigin,Baile Brigín,Balbrigan,Balbriggan,balbrigani,balbrygan,Балбриган,Балбригган,بالبریگان,ბალბრიგანი",53.61278,-6.18194,P,PPL,IE,,L,7,,,23364,,-9999,Europe/Dublin,2013-12-08,POINT (53.61278 -6.18194)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e50,2966837,Athy,Athy,"Adaj,Ataj,Athy,Baile Atha I,Baile Átha Í,atai,Адай,Атай,Атај,ათაი",52.99139,-6.98028,P,PPL,IE,,L,12,,,12855,,62,Europe/Dublin,2013-12-08,POINT (52.99139 -6.98028)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e4f,2966839,Athlone,Athlone,"Athlone,Baile Atha Luain,Baile Átha Luain",53.43333,-7.95,P,PPL,IE,,L,29,,,15951,,36,Europe/Dublin,2012-02-28,POINT (53.43333 -7.95)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e4e,2966870,Ashbourne,Ashbourne,"Ashbourne,Cill Dheaglain,Cill Dhéagláin",53.51163,-6.39821,P,PPL,IE,,L,21,,,11355,,68,Europe/Dublin,2013-12-10,POINT (53.51163 -6.39821)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e4d,2966883,Arklow,Arklow,"An tInbhear Mor,An tInbhear Mór,Arklou,Arklow,Inver Mooar,akeullo,arklw,Арклоу,آرکلو,არკლოუ,아클로",52.79306,-6.14139,P,PPL,IE,,L,31,,,11761,,0,Europe/Dublin,2013-12-08,POINT (52.79306 -6.14139)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e4c,3306439,Nenagh Bridge,Nenagh Bridge,,52.88167,-8.19583,P,PPL,IE,,M,26,,,6672,,52,Europe/Dublin,2010-08-14,POINT (52.88167 -8.19583)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e4b,3310247,Shannon,Shannon,"An tSionna,SNN,Shannon,Shannon Town,Shennon,Sionainn,Шеннон",52.70389,-8.86417,P,PPL,IE,,M,3,,,9673,,2,Europe/Dublin,2014-07-21,POINT (52.70389 -8.86417)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e4a,3315200,Eadestown,Eadestown,,53.20278,-6.57806,P,PPL,IE,,L,12,,,5346,,175,Europe/Dublin,2013-12-08,POINT (53.20278 -6.57806)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e49,3315204,Little Bray,Little Bray,,53.20444,-6.12083,P,PPL,IE,,L,7,,,8015,,11,Europe/Dublin,2013-12-08,POINT (53.20444 -6.12083)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e48,3315276,Firhouse,Firhouse,Firhouse,53.28167,-6.33917,P,PPL,IE,,L,7,,,6859,,84,Europe/Dublin,2013-12-08,POINT (53.28167 -6.33917)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e47,3315278,Sandyford,Sandyford,,53.2747,-6.2253,P,PPL,IE,,L,7,,,22288,,100,Europe/Dublin,2013-12-08,POINT (53.2747 -6.2253)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e46,3315280,Foxrock,Foxrock,Foxrock,53.26667,-6.17417,P,PPL,IE,,L,7,,,12870,,71,Europe/Dublin,2013-12-08,POINT (53.26667 -6.17417)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e45,3315282,Sallynoggin,Sallynoggin,,53.27917,-6.14058,P,PPL,IE,,L,7,,,6916,,42,Europe/Dublin,2013-12-08,POINT (53.27917 -6.14058)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e44,3315287,Rathgar,Rathgar,,53.31457,-6.275,P,PPL,IE,,L,7,,,8394,,39,Europe/Dublin,2013-12-08,POINT (53.31457 -6.275)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e43,3315304,Artane,Artane,,53.38712,-6.2138,P,PPL,IE,,L,7,,,5328,,39,Europe/Dublin,2013-11-16,POINT (53.38712 -6.2138)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e42,3315311,Beaumont,Beaumont,Beaumont,53.39139,-6.24056,P,PPL,IE,,L,7,,,8609,,52,Europe/Dublin,2013-12-08,POINT (53.39139 -6.24056)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e41,3315315,Ballymun,Ballymun,,53.39807,-6.26693,P,PPL,IE,,L,7,,,6262,,62,Europe/Dublin,2013-12-08,POINT (53.39807 -6.26693)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e40,3315332,Hartstown,Hartstown,,53.39306,-6.42694,P,PPL,IE,,L,7,,,5882,,61,Europe/Dublin,2013-12-08,POINT (53.39306 -6.42694)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e3f,3315378,Ballyfermot,Ballyfermot,Ballyfermot,53.34528,-6.35889,P,PPL,IE,,L,7,,,8558,,42,Europe/Dublin,2013-11-17,POINT (53.34528 -6.35889)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e3e,3315404,Templeogue,Templeogue,"Teach Mealog,Teach Mealóg,Templeogue,Temploug,tmplwg,Темплоуг,تمپلوگ",53.29528,-6.30889,P,PPLX,IE,,L,7,,,7023,,57,Europe/Dublin,2013-12-08,POINT (53.29528 -6.30889)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e3d,3315430,Oldbawn,Oldbawn,Oldbawn,53.27556,-6.3675,P,PPL,IE,,L,7,,,9784,,104,Europe/Dublin,2013-11-18,POINT (53.27556 -6.3675)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e3c,6619871,Cherry Orchard,Cherry Orchard,,53.33605,-6.37799,P,PPLX,IE,,,,,,7924,,54,Europe/Dublin,2013-12-08,POINT (53.33605 -6.37799)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e3b,6691006,Booterstown,Booterstown,,53.30447,-6.19985,P,PPLX,IE,,,,,,7142,,26,Europe/Dublin,2013-12-08,POINT (53.30447 -6.19985)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e3a,6691010,Ballinteer,Ballinteer,,53.27409,-6.25397,P,PPLX,IE,,L,,,,8547,,98,Europe/Dublin,2013-11-17,POINT (53.27409 -6.25397)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e39,6691017,Greenhills,Greenhills,,53.33467,-6.30302,P,PPLX,IE,,,,,,6876,,23,Europe/Dublin,2013-12-08,POINT (53.33467 -6.30302)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e38,6691033,Donaghmede,Donaghmede,Domhnach Mide,53.39845,-6.16179,P,PPLX,IE,,L,,,,15299,,18,Europe/Dublin,2013-11-17,POINT (53.39845 -6.16179)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e37,6691035,Darndale,Darndale,,53.39948,-6.18886,P,PPLX,IE,,,,,,5667,,32,Europe/Dublin,2013-12-08,POINT (53.39948 -6.18886)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e36,6691048,Donnycarney,Donnycarney,,53.3735,-6.20976,P,PPLX,IE,,,,,,7660,,25,Europe/Dublin,2013-12-08,POINT (53.3735 -6.20976)
