FID,geonameid,name,asciiname,alternatenames,latitude,longitude,fclass,fcode,country,cc2,admin1,admin2,admin3,admin4,population,elevation,gtopo30,timezone,moddate,geom
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e9c,2961960,Raheny,Raheny,"Rakheni,Rath Eanaigh,Ráth Eanaigh,Рахени,Рахені",53.38681,-6.18067,P,PPL,IE,,L,7,,,7197,,28,Europe/Dublin,2013-12-08,POINT (53.38681 -6.18067)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e9b,2962019,Portmarnock,Portmarnock,"Port Mearnog,Port Mearnóg,Portmarnock",53.42306,-6.1375,P,PPL,IE,,L,7,,,9285,,4,Europe/Dublin,2013-11-26,POINT (53.42306 -6.1375)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e9a,2962026,Portlaoise,Portlaoise,"Maryboro',Maryborough,Port Laoighise,Port Laoise,Port Leix,Portlaoise",53.03441,-7.29979,P,PPLA2,IE,,L,15,,,13622,,101,Europe/Dublin,2011-05-25,POINT (53.03441 -7.29979)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e99,2962029,Portarlington,Portarlington,"Cuil an tSudaire,Cúil an tSúdaire,Portarlington",53.16222,-7.19111,P,PPL,IE,,L,15,,,7788,,67,Europe/Dublin,2013-11-26,POINT (53.16222 -7.19111)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e98,2962222,Newtown Trim,Newtown Trim,,53.55611,-6.77,P,PPLX,IE,,L,21,,,6781,,53,Europe/Dublin,2014-12-03,POINT (53.55611 -6.77)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e97,2962252,New Ross,New Ross,"N'ju-Ross,New Ross,Nju Ros,Nueva Ross,Ros Mhic Thriuin,Ros Mhic Thriúin,Ross,Нью-Росс,Ню Рос",52.39667,-6.93667,P,PPL,IE,,L,30,,,6695,,53,Europe/Dublin,2012-02-28,POINT (52.39667 -6.93667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e96,2962283,Newcastle West,Newcastle West,"An Caislean Nua,An Caisleán Nua,Newcastle,Newcastle West",52.44917,-9.06111,P,PPL,IE,,M,16,,,6327,,59,Europe/Dublin,2013-11-26,POINT (52.44917 -9.06111)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e95,2962290,Droichead Nua,Droichead Nua,"Droichead Nua,Droichead Nuadh,Newbridge",53.18194,-6.79667,P,PPL,IE,,L,12,,,18860,,92,Europe/Dublin,2012-01-18,POINT (53.18194 -6.79667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e94,2962304,Nenagh,Nenagh,"An tAonach,Aonach Urmhumhan,Nenagh,Nina,The Meeting,nina,Нина,ნინა",52.86194,-8.19667,P,PPLA,IE,,M,38,,,5500,,52,Europe/Dublin,2014-03-07,POINT (52.86194 -8.19667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e93,2962308,Navan,Navan,"An Uaimh,An-Uav',Navan,Navanas,Yn Ooive,na wen,naebeon,navani,navu~an,Ан-Уавь,Наван,נאבאן,ნავანი,ナヴァン,納文,내번",53.65278,-6.68139,P,PPLA2,IE,,L,21,,,24545,,35,Europe/Dublin,2011-05-29,POINT (53.65278 -6.68139)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e92,2962334,Naas,Naas,"An Nas,An Nás,Naas",53.21583,-6.66694,P,PPLA2,IE,,L,12,,,20713,,93,Europe/Dublin,2013-12-08,POINT (53.21583 -6.66694)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e91,2962361,An Muileann gCearr,An Muileann gCearr,"An Muileann gCearr,Mullingar",53.53333,-7.35,P,PPLA2,IE,,L,29,,,17262,101,96,Europe/Dublin,2010-09-05,POINT (53.53333 -7.35)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e90,2962543,Monkstown,Monkstown,,53.29308,-6.15312,P,PPL,IE,,L,7,,,5555,,15,Europe/Dublin,2013-12-08,POINT (53.29308 -6.15312)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e8f,2962568,Monaghan,Monaghan,"Monachanas,Monaghan,Monakhan,Muineachan,Muineachán,monahan,monahani,Монахан,მონაჰანი,モナハン",54.25,-6.96667,P,PPL,IE,,U,22,,,5937,,75,Europe/Dublin,2012-02-28,POINT (54.25 -6.96667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e8e,2962630,Midleton,Midleton,"Mainister na Corann,Middleton,Midleton",51.91526,-8.18052,P,PPL,IE,,M,4,,,8891,,10,Europe/Dublin,2011-05-29,POINT (51.91526 -8.18052)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e8d,2962638,Mount Merrion,Mount Merrion,"Cnoc Mhuirfean,Merrion",53.30008,-6.21504,P,PPLX,IE,IE,L,7,,,7846,,44,Europe/Dublin,2013-12-08,POINT (53.30008 -6.21504)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e8c,2962668,Maynooth,Maynooth,"Maigh Nuad,Maynooth,Mejnut,meinusu,mnwth,myynwt,Мейнут,מיינות,منوث,メイヌース",53.385,-6.59361,P,PPL,IE,,L,12,,,12510,,56,Europe/Dublin,2013-11-26,POINT (53.385 -6.59361)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e8b,2962696,Marino,Marino,,53.37022,-6.23646,P,PPLX,IE,,L,7,,,11023,,12,Europe/Dublin,2013-12-08,POINT (53.37022 -6.23646)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e8a,2962714,Mallow,Mallow,"Maigh Eala,Mala,Mallou,Mallow,Malou,Malovas,Маллоу,Малоу",52.13333,-8.63333,P,PPL,IE,,M,4,,,9495,,58,Europe/Dublin,2012-02-28,POINT (52.13333 -8.63333)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e89,2962725,Malahide,Malahide,"Malahide,Malakhajd,Mullach Ide,Mullach Íde,malahayd,Малахайд,مالاهاید",53.45083,-6.15444,P,PPL,IE,,L,7,,,15846,,11,Europe/Dublin,2013-11-26,POINT (53.45083 -6.15444)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e88,2962769,Lusk,Lusk,"Lusca,Lusk",53.52743,-6.16423,P,PPL,IE,,L,7,,,7022,,27,Europe/Dublin,2013-11-26,POINT (53.52743 -6.16423)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e87,2962785,Lucan,Lucan,"Leamhcan,Leamhcán,Lucan",53.35736,-6.44859,P,PPL,IE,IE,L,7,,,15269,,25,Europe/Dublin,2013-12-08,POINT (53.35736 -6.44859)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e86,2962800,Loughrea,Loughrea,"Baile Locha Riach,Loughrea",53.19694,-8.56694,P,PPL,IE,,C,10,,,5062,,84,Europe/Dublin,2013-12-08,POINT (53.19694 -8.56694)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e85,2962840,Longford,Longford,"An Longfort,Longford,Longfordas,longafarda,longpeodeu,longpordi,lwnjfwrd,rongufodo,Лонгфорд,لونجفورد,लॉंगफ़र्ड,ლონგფორდი,ロングフォード,롱퍼드",53.72536,-7.79823,P,PPLA2,IE,,L,18,,,7787,,53,Europe/Dublin,2012-03-01,POINT (53.72536 -7.79823)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e84,2962943,Luimneach,Luimneach,"Limereick,Limerick,Limerick city,Limerik,Limerika,Limerikas,Luimneach,lymryq,rimurikku,Лимерик,לימריק,リムリック",52.66472,-8.62306,P,PPLA2,IE,,M,16,,,90054,,7,Europe/Dublin,2012-03-30,POINT (52.66472 -8.62306)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e83,2962961,Letterkenny,Letterkenny,"LTR,Leitir Ceanainn,Leterkeni,Letterkenni,Letterkenny,Leturkeni,Littyr Kennain,Летеркени,Леттеркенни,Летъркени",54.95,-7.73333,P,PPL,IE,,U,6,,,16901,,8,Europe/Dublin,2012-02-28,POINT (54.95 -7.73333)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e82,2962974,Leixlip,Leixlip,"Leim an Bhradain,Leixlip,Lejkslip,Lijkslip,Likslip,Léim an Bhradáin,lykslyp,Лейкслип,Лийкслип,Ликслип,لیکسلیپ",53.36583,-6.49556,P,PPL,IE,,L,12,,,15452,,48,Europe/Dublin,2013-12-08,POINT (53.36583 -6.49556)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e81,2963007,Laytown,Laytown,"An Inse,Laytown",53.68194,-6.23917,P,PPL,IE,,L,21,,,10889,,7,Europe/Dublin,2013-12-08,POINT (53.68194 -6.23917)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e80,2963370,Cill Airne,Cill Airne,"Cill Airne,Killarney",52.05,-9.51667,P,PPL,IE,IE,M,11,,,7300,,26,Europe/Dublin,2012-01-18,POINT (52.05 -9.51667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e7f,2963398,Kilkenny,Kilkenny,"Canicopolis,Cill Chainnigh,KKY,Keeill Chennee,Kilkeni,Kilkenis,Kilkenni,Kilkenny,kilkeni,kirukeni,Килкени,Килкенни,キルケニー,킬케니",52.65417,-7.25222,P,PPLA2,IE,,L,13,,,21589,,48,Europe/Dublin,2014-05-09,POINT (52.65417 -7.25222)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e7e,2963436,Kildare,Kildare,"Cill Dara,Keeill Darey,Kildehr,Kilderas,Kildeur,Килдеър,Килдэр",53.15611,-6.91444,P,PPL,IE,,L,12,,,8142,,100,Europe/Dublin,2013-11-26,POINT (53.15611 -6.91444)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e7d,2963472,Kilcock,Kilcock,"Cill Choca,Kilcock",53.40222,-6.67083,P,PPL,IE,,L,12,,,5533,,68,Europe/Dublin,2013-11-26,POINT (53.40222 -6.67083)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e7c,2963848,Greystones,Greystones,"Grejstons,Grejstouns,Greystones,Na Clocha Liatha,Грейстонс,Грейстоунс,Грејстонс,გრეისტოუნსი",53.14083,-6.06306,P,PPL,IE,,L,31,,,13492,80,19,Europe/Dublin,2013-12-08,POINT (53.14083 -6.06306)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e7b,2963962,Gorey,Gorey,"Gorey,Gori,Guaire,gori,Гори,გორი",52.67472,-6.2925,P,PPL,IE,,L,30,,,6040,,46,Europe/Dublin,2012-01-18,POINT (52.67472 -6.2925)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e7a,2964180,Gaillimh,Gaillimh,"GWY,Gaillimh,Galway,Galway - Gaillimh,Galway city,Goluehj,Goluej,Golveja,Golvejus,Golvėjus,ge er wei,goruu~ei,Голуей,Голуэй,ゴールウェイ,戈尔韦",53.27194,-9.04889,P,PPLA,IE,,C,10,,,70686,,6,Europe/Dublin,2012-02-28,POINT (53.27194 -9.04889)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e79,2964303,Finglas,Finglas,"Finglas,Tinglas",53.38917,-6.29694,P,PPL,IE,,L,33,,,19768,,59,Europe/Dublin,2013-12-08,POINT (53.38917 -6.29694)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e78,2964403,Enniscorthy,Enniscorthy,"Enniscorthy,Inis Corthaidh,Inis Córthaidh",52.50083,-6.55778,P,PPL,IE,,L,30,,,9709,,52,Europe/Dublin,2012-02-28,POINT (52.50083 -6.55778)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e77,2964405,Ennis,Ennis,"Ehnnis,Enis,Enisas,Ennis,Inis,Innys,anys,eniseu,enisi,enisu,Енис,Эннис,אניס,انیس,ენისი,エニス,에니스",52.84361,-8.98639,P,PPLA2,IE,,M,3,,,24427,3,5,Europe/Dublin,2011-09-13,POINT (52.84361 -8.98639)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e76,2964506,Dún Laoghaire,Dun Laoghaire,"Dan Lere,Dan Lerė,Dan Liri,Dun Laoghaire,Dun Laoire,Dun-Lehare,Dunleary,Dún Laoghaire,Dún Laoire,Kingstown,danlyry,dn lyry,dunlere,Дан Лири,Дун-Лэаре,דן לירי,دانلیری,ดูนเลเร,ダン・レアリー",53.29395,-6.13586,P,PPL,IE,IE,L,34,,,185400,,16,Europe/Dublin,2014-02-28,POINT (53.29395 -6.13586)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e75,2964528,Dungarvan,Dungarvan,"Dangarvan,Dun Garbhan,Dungarvan,Dún Garbhán,dangarvani,Дангарван,Дънгарван,დანგარვანი",52.08806,-7.62528,P,PPL,IE,,M,27,,,7551,,12,Europe/Dublin,2012-02-28,POINT (52.08806 -7.62528)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e74,2964532,Dundrum,Dundrum,,53.29067,-6.25714,P,PPL,IE,,L,7,,,12152,,60,Europe/Dublin,2013-12-08,POINT (53.29067 -6.25714)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e73,2964540,Dundalk,Dundalk,"Dandalk,Dandolk,Dandolkas,Doon Jialgan,Dun Dealgan,Dundalk,Dundolk,Dún Dealgan,dandak,dandoku,deng duo ke,Дандалк,Дандолк,Дъндолк,دانداک,დანდოლკი,ダンドーク,邓多克",54,-6.41667,P,PPLA2,IE,,L,19,,,33428,,18,Europe/Dublin,2012-03-01,POINT (54 -6.41667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e72,2964547,Dunboyne,Dunboyne,Dunboyne,53.4,-6.46667,P,PPL,IE,,L,21,,,6959,,68,Europe/Dublin,2013-12-08,POINT (53.4 -6.46667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e71,2964574,Dublin,Dublin,"Baile Atha Cliath,Baile Átha Cliath,Ciuda de Dublin,Ciudá de Dublín,DUB,Dablin,Diblin,Difelin,Divlyn,Doublino,Dublin,Dublin city,Dublina,Dublinas,Dublini,Dublino,Dublinu,Dublín,Dublîn,Dueblin,Dulenn,Dulyn,Dyflinn,Düblin,Eblana,Gorad Dublin,dabalina,dablin,dablina,daburin,dbln,dblyn,deobeullin,dou bai lin,dublini,dwblyn,taplin,Δουβλίνο,Горад Дублін,Даблин,Дублин,Дублін,Дъблин,Դուբլին,דבלין,דובלין,دبلن,دوبلين,دوبلین,دۇبلىن,ڈبلن,ډبلن,ܕܒܠܢ,डब्लिन,दब्लिन,ডাবলিন,ਡਬਲਿਨ,டப்லின்,ಡಬ್ಲಿನ್,ഡബ്ലിൻ,ดับลิน,དུབ་ལིན།,ဒပ်ဗလင်မြို့,დუბლინი,ደብሊን,ダブリン,都柏林,더블린",53.33306,-6.24889,P,PPLC,IE,,L,33,,,1024027,,17,Europe/Dublin,2013-05-30,POINT (53.33306 -6.24889)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e70,2964661,Drogheda,Drogheda,"Droeda,Droehda,Drogeda,Droghad Aah,Drogheda,Drogheda - Droichead Atha,Drogheda - Droichead Átha,Droichead Atha,Droichead Átha,Droida,de luo he da,deuloida,doroheda,drahyda,Дрогеда,Дроида,Дроэда,دراهیدا,ドロヘダ,德羅赫達,드로이다",53.71889,-6.34778,P,PPL,IE,,L,19,,,33441,,28,Europe/Dublin,2012-02-28,POINT (53.71889 -6.34778)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e6f,2964745,Donnybrook,Donnybrook,,53.31375,-6.22274,P,PPL,IE,,L,7,,,10645,,17,Europe/Dublin,2013-12-08,POINT (53.31375 -6.22274)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e6e,2964765,Donabate,Donabate,"Domhnach Bat,Donabate",53.48722,-6.15194,P,PPL,IE,,L,7,,,6778,,7,Europe/Dublin,2013-11-26,POINT (53.48722 -6.15194)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e6d,2964767,Dollymount,Dollymount,,53.36489,-6.18032,P,PPL,IE,,L,7,,,5070,,11,Europe/Dublin,2013-12-08,POINT (53.36489 -6.18032)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e6c,2964820,Derry,Derry,,51.58666,-9.05026,P,PPL,IE,,M,4,,,10000,,54,Europe/Dublin,2010-08-30,POINT (51.58666 -9.05026)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e6b,2964892,Dalkey,Dalkey,"Dalkey,Deilginis",53.27833,-6.10028,P,PPL,IE,IE,L,7,,,6622,,19,Europe/Dublin,2013-12-08,POINT (53.27833 -6.10028)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e6a,2964963,Crumlin,Crumlin,Crumlin,53.32417,-6.32861,P,PPL,IE,,L,7,,,11294,,41,Europe/Dublin,2013-11-17,POINT (53.32417 -6.32861)
